Model,Cores,Threads,base frequency,turbo frequency,L1,L2,L3,TDP,Codename,Socket
i9-10910,10,20,3.60,5.00,N/A,N/A,20,125,Comet Lake,LGA 1200
i9-10900K,10,20,3.70,5.30,N/A,N/A,20,125,Comet Lake,LGA 1200
i9-10900KF,10,20,3.70,5.30,N/A,N/A,20,125,Comet Lake,LGA 1200
i9-10900,10,20,2.80,5.20,N/A,N/A,20,65,Comet Lake,LGA 1200
i9-10900E,10,20,2.80,4.70,N/A,N/A,20,65,Comet Lake,LGA 1200
i9-10900F,10,20,2.80,5.20,N/A,N/A,20,65,Comet Lake,LGA 1200
i9-10900T,10,20,1.90,4.60,N/A,N/A,20,35,Comet Lake,LGA 1200
i9-10850K,10,20,3.60,5.20,N/A,N/A,20,125,Comet Lake,LGA 1200
i7-10700K,8,16,3.80,5.10,N/A,N/A,16,125,Comet Lake,LGA 1200
i7-10700KF,8,16,3.80,5.10,N/A,N/A,16,125,Comet Lake,LGA 1200
i7-10700,8,16,2.90,4.80,N/A,N/A,16,65,Comet Lake,LGA 1200
i7-10700E,8,16,2.90,4.50,N/A,N/A,16,65,Comet Lake,LGA 1200
i7-10700F,8,16,2.90,4.80,N/A,N/A,16,65,Comet Lake,LGA 1200
i7-10700T,8,16,2.00,4.50,N/A,N/A,16,35,Comet Lake,LGA 1200
i7-10700TE,8,16,2.00,4.40,N/A,N/A,16,35,Comet Lake,LGA 1200
i5-10600K,6,12,4.10,4.80,N/A,N/A,12,125,Comet Lake,LGA 1200
i5-10600KF,6,12,4.10,4.80,N/A,N/A,12,125,Comet Lake,LGA 1200
i5-10600,6,12,3.30,4.80,N/A,N/A,12,65,Comet Lake,LGA 1200
i5-10600T,6,12,2.40,4.00,N/A,N/A,12,35,Comet Lake,LGA 1200
i5-10500,6,12,3.10,4.50,N/A,N/A,12,65,Comet Lake,LGA 1200
i5-10500E,6,12,3.10,4.20,N/A,N/A,12,65,Comet Lake,LGA 1200
i5-10500T,6,12,2.30,3.80,N/A,N/A,12,35,Comet Lake,LGA 1200
i5-10500TE,6,12,2.30,3.70,N/A,N/A,12,35,Comet Lake,LGA 1200
i5-10400,6,12,2.90,4.30,N/A,N/A,12,65,Comet Lake,LGA 1200
i5-10400F,6,12,2.90,4.30,N/A,N/A,12,65,Comet Lake,LGA 1200
i5-10400T,6,12,2.30,3.60,N/A,N/A,12,35,Comet Lake,LGA 1200
i3-10320,4,8,3.80,4.60,N/A,N/A,8,65,Comet Lake,LGA 1200
i3-10300,4,8,3.70,4.40,N/A,N/A,8,65,Comet Lake,LGA 1200
i3-10300T,4,8,3.00,3.90,N/A,N/A,8,35,Comet Lake,LGA 1200
i3-10100,4,8,3.60,4.30,N/A,N/A,6,65,Comet Lake,LGA 1200
i3-10100E,4,8,3.20,3.80,N/A,N/A,6,65,Comet Lake,LGA 1200
i3-10100F,4,8,3.60,4.30,N/A,N/A,6,65,Comet Lake,LGA 1200
i3-10100T,4,8,3.00,3.80,N/A,N/A,6,35,Comet Lake,LGA 1200
i3-10100TE,4,8,2.30,3.60,N/A,N/A,6,35,Comet Lake,LGA 1200